night_commit_ratio,pr_lines_changed,pr_files_changed,review_gap_hours,review_depth_score,consecutive_ci_failures,ci_pass_rate_7d,deadline_24h_count,deadline_48h_count,open_ticket_count,commit_velocity_spike,cross_team_files_ratio,test_file_updated,hotfix_label_present,risk_label
0.1326,258,7,7.88,2.3878,2,0.7942,0,2,5,1.0166,0.1092,1,1,0
0.3838,557,35,7.22,0.7127,7,0.3911,1,6,9,2.9782,0.2117,0,0,2
0.1489,1713,17,6.0,1.517,7,0.2896,3,4,14,2.5449,0.2917,0,0,2
0.5111,1647,26,25.3,0.48,2,0.5619,3,5,18,3.5544,0.1881,0,0,2
0.1403,251,6,2.87,2.4113,1,0.9773,1,2,2,1.5082,0.0,0,0,0
0.2326,773,6,47.28,0.7488,0,0.6247,1,2,7,2.1106,0.4545,1,0,1
0.1706,625,38,110.0,1.2385,7,0.6552,3,4,12,3.217,0.3642,0,1,2
0.1571,313,4,0.5,1.7864,1,0.8657,0,2,4,0.7681,0.1384,0,0,0
0.0,191,3,8.5,2.5734,2,0.9677,0,1,4,1.0019,0.0881,1,0,0
0.0116,123,2,5.96,1.3421,1,0.8485,1,1,2,1.3885,0.0826,1,0,0
0.4077,1559,26,35.72,0.1901,7,0.6236,2,2,10,3.0518,0.4371,0,0,2
0.0174,356,6,2.72,1.9786,2,0.9021,0,1,1,1.053,0.255,1,0,0
0.2174,642,6,13.55,1.6924,3,0.5389,1,2,11,1.8601,0.3056,1,0,1
0.3525,1695,32,16.35,0.5826,2,0.353,4,6,18,2.859,0.2952,0,0,2
0.3973,607,21,1.0,1.9802,0,0.6402,0,1,3,0.9434,0.1254,0,0,1
0.6275,1827,20,39.66,0.0,3,0.5931,2,5,19,2.2532,0.4126,0,1,2
0.3431,409,11,13.53,1.8239,3,0.9689,2,4,10,1.6405,0.5623,1,0,1
0.3224,2063,33,17.73,0.1266,4,0.405,2,4,7,3.28,0.351,1,1,2
0.3746,2055,29,61.95,0.0,2,0.5409,4,5,7,3.6249,0.4732,0,0,2
0.0036,236,8,8.55,1.1419,1,0.8869,1,2,4,1.7548,0.008,0,0,0
0.6392,2104,18,8.91,0.5844,4,0.4852,2,3,11,1.5726,0.3334,0,0,2
0.8325,1231,59,128.64,0.0,7,0.2158,5,8,23,4.4586,0.4623,0,1,3
0.5063,1272,38,56.58,0.3173,3,0.6073,3,2,11,2.7117,0.2166,0,1,2
0.1767,393,2,0.5,2.0248,2,1.0,1,1,4,1.0654,0.0046,0,0,0
0.0781,608,13,33.26,1.6605,3,0.7782,2,3,8,1.6734,0.187,1,0,1
0.9219,2881,67,86.46,0.0,7,0.2684,3,5,14,3.6883,0.8244,0,1,3
0.6168,1701,41,15.43,0.3976,3,0.3533,3,4,18,2.255,0.2397,0,0,2
0.2846,205,13,42.46,1.7636,1,0.6578,1,3,6,1.072,0.1107,1,1,1
0.1103,368,9,1.07,1.5968,2,0.8971,1,2,5,0.4825,0.0,0,0,0
0.5047,1936,17,6.0,0.6469,7,0.4496,2,6,18,1.8801,0.6732,1,0,2
0.6591,1169,18,10.93,0.7886,4,0.6275,2,4,18,2.5222,0.3282,0,1,2
0.6235,1555,33,37.69,1.5392,6,0.6436,2,3,13,3.6916,0.6535,0,0,2
0.6583,1984,13,6.0,1.2318,6,0.4887,1,2,17,2.9516,0.2187,0,1,2
0.0424,377,2,4.31,2.253,2,0.9117,0,1,2,0.6384,0.0335,1,0,0
0.0787,250,18,15.0,1.9416,1,0.8463,0,1,6,2.6972,0.4739,1,0,1
0.1478,93,8,26.11,2.2118,1,0.9779,1,1,5,1.0995,0.1084,0,0,0
0.8352,1397,45,210.0,0.0317,11,0.0,5,9,27,5.9477,0.9384,0,1,3
0.6153,1598,77,73.78,0.0462,13,0.1466,4,9,20,4.4774,0.8475,0,1,3
0.8958,1510,73,22.14,0.0,10,0.2583,4,10,22,5.5866,0.7758,0,1,3
0.2884,161,11,39.88,1.0694,2,0.5549,2,2,5,1.9812,0.0514,0,0,1
0.1532,132,8,5.54,1.8227,0,0.8376,0,2,6,1.7468,0.0887,1,0,0
0.1704,92,8,12.02,2.1689,0,0.9348,1,1,5,1.5774,0.0,1,0,0
0.4998,1098,27,13.46,1.1814,5,0.5815,1,3,10,3.8178,0.6622,1,0,2
0.8138,3169,32,74.32,0.0,11,0.2612,6,4,28,4.3085,0.8905,0,1,3
0.8028,4099,74,35.25,0.0518,13,0.2172,6,4,13,6.2514,0.6754,0,1,3
0.708,4757,47,209.86,0.1131,4,0.1097,3,7,28,6.3905,0.6399,1,1,3
0.1398,299,3,16.74,1.982,0,0.8121,1,1,1,1.1748,0.0,1,0,0
0.3122,1744,27,6.0,1.261,4,0.4181,4,4,13,3.1005,0.4813,0,1,2
0.8511,4864,60,20.0,0.036,9,0.1072,7,3,14,2.9579,0.7995,0,0,3
0.327,1137,16,34.78,0.0077,7,0.4521,4,2,8,2.3823,0.8459,1,0,2
0.4014,628,4,41.51,1.0206,3,0.9169,0,2,10,2.3935,0.2639,1,0,1
0.0698,578,4,17.98,1.5083,1,0.6824,2,4,4,1.0764,0.4529,1,0,1
0.3709,632,27,14.18,0.0137,7,0.4483,4,4,10,3.6133,0.5349,1,1,2
0.7959,1684,43,80.35,0.0236,15,0.256,3,6,21,6.4832,0.6396,0,1,3
0.0369,282,4,2.17,1.6153,2,0.9294,1,0,1,1.3711,0.0875,1,0,0
0.3134,1016,29,63.51,1.3939,6,0.5241,2,4,9,3.1544,0.7029,0,0,2
0.1154,277,4,8.24,1.874,1,0.868,1,0,3,1.3568,0.0767,0,0,0
0.1389,1156,32,10.97,0.8147,3,0.5353,4,6,10,2.2839,0.4466,1,1,2
0.2556,190,13,7.27,2.3524,3,0.7428,0,3,10,2.3269,0.4439,1,0,1
0.7354,4137,71,64.75,0.0002,8,0.3489,8,9,13,6.0621,0.9218,0,0,3
0.2219,540,13,12.75,2.027,3,0.8466,1,2,5,1.2472,0.4527,0,0,1
0.4914,4862,49,49.02,0.1176,5,0.1775,5,4,26,7.8124,0.7629,0,1,3
0.0875,11,9,0.66,2.3239,1,0.9342,0,0,1,0.58,0.0607,0,0,0
0.8244,1715,39,46.27,0.0,6,0.1344,6,10,22,5.3579,0.639,0,1,3
0.0807,240,3,2.25,1.0116,2,0.9192,1,1,5,1.6213,0.1226,1,0,0
0.2236,504,19,5.75,1.4297,2,0.8147,2,1,3,2.3294,0.3677,1,0,1
0.0,250,8,2.68,2.0297,1,0.9968,0,1,5,0.4374,0.0012,1,0,0
0.5091,3230,78,49.94,0.0,6,0.3781,7,5,29,5.6468,0.8292,0,1,3
0.512,577,34,6.0,0.0003,3,0.4863,2,5,17,2.6027,0.1356,0,1,2
0.0771,434,7,7.56,1.836,2,0.6114,1,4,12,1.0661,0.128,0,0,1
0.2857,1783,25,6.0,1.1856,6,0.5889,2,6,13,2.9963,0.6481,0,0,2
0.7357,1029,26,29.17,0.9911,4,0.3989,3,2,9,2.6332,0.4062,0,1,2
0.2879,1848,33,6.94,1.432,5,0.3937,3,3,11,3.2399,0.5682,0,1,2
0.2803,229,8,0.84,2.4621,2,0.7448,1,0,5,1.3585,0.2751,1,0,0
0.3888,331,13,11.86,1.371,0,0.9298,2,2,8,2.4975,0.0226,1,0,1
0.0231,125,5,3.71,2.2148,2,0.8877,0,2,1,1.3949,0.0489,1,0,0
0.8228,2169,38,205.64,0.0,7,0.0495,4,9,24,6.7518,0.8842,0,1,3
0.1239,298,16,15.93,1.4079,2,0.6373,1,2,8,0.7751,0.2143,1,0,1
0.5635,2483,52,20.0,0.0454,14,0.1716,2,7,22,6.4154,0.6299,0,1,3
0.1296,35,8,2.47,1.4312,1,0.761,0,0,3,1.1023,0.1094,1,0,0
0.6309,1947,20,9.51,0.7506,6,0.6297,4,6,11,3.2602,0.5609,0,1,2
0.1472,1900,35,16.21,1.7677,5,0.6189,1,2,15,2.5302,0.3936,0,1,2
0.0,380,8,1.57,1.4316,2,0.9269,0,0,4,1.848,0.0863,1,0,0
0.325,1791,26,91.61,1.3233,4,0.5708,1,5,14,2.3459,0.5793,0,1,2
0.3528,2514,37,20.0,0.0,9,0.3392,8,10,14,6.0507,0.7424,0,1,3
0.1807,130,1,0.5,1.7091,0,0.8502,1,0,1,0.5132,0.0253,1,0,0
0.1008,191,4,1.43,1.7967,1,0.8553,1,1,6,1.7249,0.3815,1,0,0
0.8666,2970,74,50.87,0.0,14,0.0673,4,9,17,5.8608,0.6,0,0,3
0.8074,2289,61,40.95,0.059,12,0.3743,7,6,22,5.4826,0.8628,0,0,3
0.1608,669,19,3.42,2.0353,0,0.8006,0,2,12,1.2501,0.3026,1,0,1
0.2262,368,12,20.39,1.2189,1,0.7332,2,1,10,2.1723,0.4584,0,0,1
0.3985,701,20,4.59,2.3741,2,0.8671,1,2,11,1.0156,0.1296,1,0,1
0.4407,731,6,1.0,1.4503,3,0.5067,0,4,8,0.8904,0.185,1,0,1
0.0,432,16,30.25,0.7921,3,0.8666,2,3,6,2.2637,0.2153,0,0,1
0.8971,4158,67,21.22,0.0804,9,0.087,3,6,30,6.1134,0.7684,0,1,3
0.575,4913,48,77.67,0.0,11,0.1553,8,7,24,6.6962,0.5499,0,1,3
0.7182,2974,68,20.0,0.0,8,0.0465,5,8,16,6.3185,0.7458,0,1,3
0.5525,749,8,16.99,2.112,2,0.6721,1,2,4,1.4583,0.1399,1,0,1
0.2832,569,17,33.56,2.0745,1,0.7601,2,2,9,0.8909,0.5608,0,0,1
0.3699,232,18,9.01,1.2482,3,0.6972,1,1,6,1.2774,0.2334,1,0,1
0.0962,319,1,13.54,1.3721,1,0.8666,0,1,5,1.2687,0.1315,1,0,0
0.3184,943,37,6.19,0.3129,4,0.6991,3,4,16,2.4939,0.3015,1,0,2
0.1621,243,8,48.99,1.2054,1,0.6097,1,3,8,1.2173,0.218,0,1,1
0.0469,303,8,5.81,1.9986,0,0.7984,0,2,5,0.7118,0.1148,1,0,0
0.0014,110,2,5.15,1.2141,1,0.9154,0,2,3,1.5161,0.305,0,0,0
0.3942,426,9,16.38,1.1199,1,0.8495,1,1,4,1.6158,0.2331,1,0,1
0.1545,306,21,16.02,0.6064,0,0.7085,1,2,5,1.6546,0.06,1,0,1
0.0525,767,18,33.13,0.83,2,0.6777,1,4,9,2.0502,0.0317,1,1,1
0.5787,1797,57,49.76,0.0,13,0.2276,6,7,31,5.3391,0.405,0,1,3
0.406,490,17,27.18,1.4483,1,0.5736,2,4,7,1.7036,0.3267,0,0,1
0.3023,204,10,5.4,1.6698,0,0.6481,0,3,10,2.4071,0.5834,1,0,1
0.0758,663,16,17.66,2.3573,3,0.8431,2,4,5,1.7169,0.3334,0,0,1
0.252,1276,38,12.78,0.6655,7,0.2952,2,3,9,3.7139,0.2071,0,1,2
0.5087,1929,44,8.64,0.7372,7,0.593,2,2,17,2.2445,0.6006,0,0,2
0.0,279,4,0.5,1.9782,2,0.8818,0,2,2,1.5771,0.0342,1,0,0
0.0728,38,9,5.38,2.1359,2,0.8968,0,1,4,1.1793,0.0905,0,0,0
0.1773,776,15,3.13,1.588,0,0.5879,0,4,11,2.5843,0.106,1,1,1
0.6151,3165,43,58.48,0.0,13,0.2747,8,10,31,5.265,0.9022,1,0,3
0.0081,227,8,0.5,2.0605,1,1.0,0,2,1,1.2966,0.4352,1,0,0
0.1698,613,10,7.42,1.7267,0,0.7979,2,3,8,2.6005,0.2193,1,1,1
0.6133,750,38,46.39,0.6913,6,0.3718,3,5,7,3.8044,0.3411,0,1,2
0.0,789,5,6.79,1.3745,1,0.5854,2,3,6,1.4124,0.5557,0,0,1
0.3264,967,35,39.91,0.0,6,0.7889,2,6,7,3.4443,0.2067,0,1,2
0.6146,738,35,16.09,0.7543,5,0.4127,2,3,13,1.7742,0.3683,1,1,2
0.3656,608,13,56.96,0.8821,3,0.6422,1,3,5,1.4213,0.0135,0,0,1
0.561,4245,44,108.51,0.0,15,0.3005,5,5,17,5.3211,0.6932,0,1,3
0.6671,1957,69,20.0,0.0,14,0.2919,3,4,13,6.8354,0.5065,0,1,3
0.0089,362,8,10.49,1.6913,0,0.8812,1,1,5,0.9077,0.2584,1,0,0
0.3931,147,7,3.36,1.9657,0,0.9634,0,0,4,0.6268,0.6781,1,0,0
0.6857,788,14,26.25,1.4421,2,0.8594,2,1,7,0.9893,0.1434,0,0,1
0.6802,4489,30,32.54,0.0,11,0.1731,6,4,22,5.3952,0.7549,0,1,3
0.0385,369,1,2.13,2.2169,1,1.0,1,0,1,1.5939,0.1169,0,0,0
0.4825,1986,15,10.53,1.09,2,0.6231,3,3,15,2.4533,0.3126,0,1,2
0.4156,569,20,34.68,2.0468,2,0.9492,1,1,4,2.3415,0.1454,0,1,1
0.0716,320,1,0.5,1.1884,2,0.91,1,0,5,1.5192,0.52,1,0,0
0.0413,178,1,1.08,1.1684,1,0.8584,0,0,3,1.6502,0.0838,1,0,0
0.637,1921,28,103.26,0.9367,4,0.284,4,6,17,2.7103,0.3035,0,1,2
0.2204,597,6,2.74,0.9316,2,0.7958,2,4,3,2.4041,0.1011,1,0,1
0.3857,538,15,5.63,1.8479,0,0.5633,1,1,6,1.7891,0.0278,1,0,1
